櫃員,櫃檯機號,交易時間,端末交易代號,交易代號,交易摘要,歸戶/歸戶編號/其他,借貸,更正記號,主管,交易金額,訊息代號
000023,1011,13:47:14,P19,P10,H,111-001-00212-3,0,0,,"6,191",P 00001
000023,1011,13:47:18,P19,P10,H,111-001-00212-3,0,0,,"65",P 00001
000023,1011,13:47:22,P19,P10,H,111-001-00212-3,0,0,,"91,967",P 00001
000023,1011,13:47:54,P80,P80,W0,111-001-00212-3,,0,,"0",P 00007
000023,1011,13:48:39,P20,P20,SH,086-005-51234-5,1,0,,"98,233",P 00001
